Year,Month,Day,Country,Region,city,latitude,longitude,AttackType,Killed,Wounded,Group,Target_type,Sub_Target,success,suicide,Weapon_type,Sub_Weapon_type,Motive,Summary,addnotes,Total_num,casualities
1975,3,3,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Armed Assault,1.0,0.0,Mujahedin-e Khalq (MEK),Police,Police Security Forces/Officers,1,0,Firearms,Handgun,,,,1.0,1
1975,3,17,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Government (General),"Government Personnel (excluding police, military)",1,0,Firearms,Automatic Weapon,,,,1.0,1
1975,5,21,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Private Citizens & Property,Unnamed Civilian/Unspecified,1,0,Firearms,Automatic Weapon,,,,1.0,1
1975,5,21,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Assassination,2.0,0.0,Mujahedin-e Khalq (MEK),Military,"Military Personnel (soldiers, troops, officers, forces)",1,0,Firearms,Automatic Weapon,,,,2.0,1
1975,6,14,Iran,Middle East & North Africa,Mashhad,36.32396,59.556959,Bombing/Explosion,0.0,0.0,Mujahedin-e Khalq (MEK),Government (Diplomatic),Embassy/Consulate,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,0.0,0
1975,6,15,Iran,Middle East & North Africa,Mashhad,36.32396,59.556959,Bombing/Explosion,,,Mujahedin-e Khalq (MEK),Government (Diplomatic),Embassy/Consulate,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,,0
1975,7,3,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",1,0,Firearms,Automatic Weapon,,,,1.0,1
1975,12,30,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Police,Police Security Forces/Officers,1,0,Firearms,Handgun,,,,1.0,1
1976,4,10,Iran,Middle East & North Africa,Unknown,,,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Religious Figures/Institutions,Religious Figure,1,0,Firearms,Handgun,,,,1.0,1
1976,8,28,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Assassination,3.0,0.0,Mujahedin-e Khalq (MEK),Business,Multinational Corporation,1,0,Firearms,Automatic Weapon,,,,3.0,1
1976,9,26,Syria,Middle East & North Africa,Aleppo,36.212989,37.142588,Hostage Taking (Barricade Incident),5.0,34.0,Abu Nidal Organization (ANO),Business,Hotel/Resort,1,0,Firearms,Automatic Weapon,,,,39.0,1
1976,10,11,Pakistan,South Asia,Islamabad,33.708988,73.053857,Bombing/Explosion,1.0,2.0,Abu Nidal Organization (ANO),Government (Diplomatic),Embassy/Consulate,1,0,Firearms,Automatic Weapon,,,,3.0,1
1976,11,17,Jordan,Middle East & North Africa,Amman,31.950001,35.933331,Hostage Taking (Barricade Incident),9.0,5.0,Abu Nidal Organization (ANO),Business,Hotel/Resort,1,0,Firearms,Automatic Weapon,,,,14.0,1
1976,12,1,Syria,Middle East & North Africa,Aleppo,36.212989,37.142588,Assassination,0.0,1.0,Abu Nidal Organization (ANO),Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",0,0,Firearms,Automatic Weapon,,,,1.0,1
1977,4,16,Iran,Middle East & North Africa,Tabriz,38.030161,46.356069,Armed Assault,0.0,0.0,Mujahedin-e Khalq (MEK),Business,Bank/Commerce,0,0,Firearms,Handgun,,,,0.0,0
1977,12,28,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Bombing/Explosion,0.0,1.0,Mujahedin-e Khalq (MEK),Government (Diplomatic),Embassy/Consulate,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,1.0,1
1978,8,3,France,Western Europe,Paris,48.856614,2.3522220000000003,Assassination,2.0,0.0,Abu Nidal Organization (ANO),Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",1,0,Firearms,Automatic Weapon,,,,2.0,1
1978,8,5,Pakistan,South Asia,Islamabad,33.708988,73.053857,Bombing/Explosion,4.0,,Abu Nidal Organization (ANO),Terrorists/Non-State Militia,Terrorist,1,0,Firearms,Automatic Weapon,,,,,0
1978,8,19,Iran,Middle East & North Africa,Abadan,30.347171000000003,48.292706,Facility/Infrastructure Attack,422.0,0.0,Mujahedin-e Khalq (MEK),Business,Entertainment/Cultural/Stadium/Casino,1,0,Incendiary,,,,,422.0,1
1978,9,6,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Armed Assault,1.0,3.0,Mujahedin-e Khalq (MEK),Police,"Police Building (headquarters, station, school)",1,0,Firearms,Automatic Weapon,,,,4.0,1
1978,9,16,Iran,Middle East & North Africa,Tabriz,38.030161,46.356069,Armed Assault,9.0,,Mujahedin-e Khalq (MEK),Military,Military Unit/Patrol/Convoy,1,0,Firearms,Automatic Weapon,,,,,0
1978,12,9,Iran,Middle East & North Africa,Isfahan,32.65246,51.674620000000004,Facility/Infrastructure Attack,0.0,0.0,Mujahedin-e Khalq (MEK),Business,Industrial/Textiles/Factory,1,0,Incendiary,,,,,0.0,0
1978,12,23,Iran,Middle East & North Africa,Ahvaz,31.285505999999998,48.643415999999995,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Business,Gas/Oil,1,0,Firearms,Automatic Weapon,,,,1.0,1
1978,12,23,Iran,Middle East & North Africa,Ahvaz,31.285505999999998,48.643415999999995,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Business,Gas/Oil,1,0,Firearms,Automatic Weapon,,,,1.0,1
1979,1,15,Iran,Middle East & North Africa,Kerman,30.275508000000002,57.079331999999994,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Business,,1,0,Melee,Knife or Other Sharp Object,,,,1.0,1
1979,3,9,Myanmar,Southeast Asia,Thaton,16.933177,97.36544599999999,Bombing/Explosion,5.0,60.0,Karen National Union,Business,Retail/Grocery/Bakery,1,0,Explosives/Bombs/Dynamite,Grenade,,,,65.0,1
1979,3,15,Myanmar,Southeast Asia,Kaladanin*,21.127046,92.976887,Armed Assault,0.0,2.0,Karen National Union,Police,"Police Building (headquarters, station, school)",1,0,Firearms,Automatic Weapon,,,,2.0,1
1979,11,4,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Hostage Taking (Barricade Incident),0.0,0.0,Mujahedin-e Khalq (MEK),Government (Diplomatic),Embassy/Consulate,1,0,Unknown,,,,,0.0,0
1980,1,17,France,Western Europe,Paris,48.856614,2.3522220000000003,Assassination,1.0,0.0,Abu Nidal Organization (ANO),Private Citizens & Property,,1,0,Firearms,Handgun,,,,1.0,1
1980,1,19,Lebanon,Middle East & North Africa,Beirut,33.888628999999995,35.495478999999996,Assassination,1.0,0.0,Abu Nidal Organization (ANO),Violent Political Party,Party Official/Candidate/Other Personnel,1,0,Firearms,Handgun,,,,1.0,1
1980,1,29,France,Western Europe,Paris,48.856614,2.3522220000000003,Bombing/Explosion,1.0,8.0,Front for the Liberation of Lebanon from Foreigners,Government (Diplomatic),Embassy/Consulate,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,9.0,1
1980,3,3,Spain,Western Europe,Madrid,40.416691,-3.7003449999999996,Assassination,1.0,0.0,Abu Nidal Organization (ANO),Business,,1,0,Firearms,Automatic Weapon,,,,1.0,1
1980,7,28,Lebanon,Middle East & North Africa,Beirut,33.888628999999995,35.495478999999996,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Government (General),"Government Personnel (excluding police, military)",1,0,Firearms,Automatic Weapon,,,,1.0,1
1980,8,27,Lebanon,Middle East & North Africa,Beirut,33.888628999999995,35.495478999999996,Assassination,0.0,0.0,Front for the Liberation of Lebanon from Foreigners,Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",0,0,Firearms,Automatic Weapon,,,,0.0,0
1980,10,2,Lebanon,Middle East & North Africa,Beirut,33.888628999999995,35.495478999999996,Bombing/Explosion,,,Mujahedin-e Khalq (MEK),Government (Diplomatic),Embassy/Consulate,1,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",,,,,0
1981,4,16,Uganda,Sub-Saharan Africa,Kuengera,0.29438600000000004,32.502299,Assassination,1.0,0.0,Anti-Government extremists,Government (General),Politician or Political Party Movement/Meeting/Rally,1,0,Unknown,,,,,1.0,1
1981,5,1,Austria,Western Europe,Vienna,48.208174,16.373819,Assassination,1.0,0.0,Abu Nidal Organization (ANO),Private Citizens & Property,Labor Union Related,1,0,Firearms,Unknown Gun Type,,,,1.0,1
1981,6,19,Philippines,Southeast Asia,Llorente,11.41194,125.54583000000001,Unknown,5.0,6.0,Rebels,Business,Medical/Pharmaceutical,1,0,Unknown,,,,,11.0,1
1981,6,23,West Germany (FRG),Western Europe,Hamburg,53.553813,9.991586,Facility/Infrastructure Attack,0.0,0.0,Mujahedin-e Khalq (MEK),Government (Diplomatic),Embassy/Consulate,1,0,Melee,Unknown Weapon Type,,,,0.0,0
1981,7,24,Iran,Middle East & North Africa,Unknown,,,Armed Assault,1.0,0.0,Mujahedin-e Khalq (MEK),Military,"Military Personnel (soldiers, troops, officers, forces)",1,0,Firearms,Unknown Gun Type,,,,1.0,1
1981,7,26,Iran,Middle East & North Africa,Chalus,36.655,51.4204,Bombing/Explosion,0.0,0.0,Mujahedin-e Khalq (MEK),Government (General),Politician or Political Party Movement/Meeting/Rally,0,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,0.0,0
1981,8,3,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Bombing/Explosion,7.0,10.0,Mujahedin-e Khalq (MEK),Government (General),Head of State,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,17.0,1
1981,8,7,United States,North America,Washington,38.890370000000004,-77.031959,Armed Assault,0.0,3.0,Mujahedin-e Khalq (MEK),Government (Diplomatic),Embassy/Consulate,1,0,Firearms,Automatic Weapon,,,,3.0,1
1981,8,11,Norway,Western Europe,Oslo,59.91386899999999,10.752245,Hostage Taking (Barricade Incident),0.0,0.0,Mujahedin-e Khalq (MEK),Government (Diplomatic),Embassy/Consulate,1,0,Unknown,,,,,0.0,0
1981,8,24,Iran,Middle East & North Africa,Rezvanshahr,32.021390000000004,54.19746899999999,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Military,"Military Personnel (soldiers, troops, officers, forces)",1,0,Firearms,Automatic Weapon,,,,1.0,1
1981,9,17,Lebanon,Middle East & North Africa,Shika,,,Bombing/Explosion,10.0,10.0,Front for the Liberation of Lebanon from Foreigners,Business,Industrial/Textiles/Factory,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,20.0,1
1981,9,17,Lebanon,Middle East & North Africa,Sidon,33.562839000000004,35.36887,Bombing/Explosion,23.0,90.0,Front for the Liberation of Lebanon from Foreigners,Terrorists/Non-State Militia,Terrorist,1,0,Explosives/Bombs/Dynamite,Vehicle,,,,113.0,1
1981,9,20,Lebanon,Middle East & North Africa,Beirut,33.888628999999995,35.495478999999996,Bombing/Explosion,4.0,28.0,Front for the Liberation of Lebanon from Foreigners,Business,Entertainment/Cultural/Stadium/Casino,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,32.0,1
1981,9,28,Lebanon,Middle East & North Africa,Unknown,,,Bombing/Explosion,18.0,45.0,Front for the Liberation of Lebanon from Foreigners,Terrorists/Non-State Militia,Terrorist,1,0,Explosives/Bombs/Dynamite,Vehicle,,,,63.0,1
1981,9,29,Iran,Middle East & North Africa,Mashhad,36.32396,59.556959,Assassination,1.0,3.0,Mujahedin-e Khalq (MEK),Government (General),Politician or Political Party Movement/Meeting/Rally,1,0,Explosives/Bombs/Dynamite,Grenade,,,,4.0,1
1981,10,1,Lebanon,Middle East & North Africa,Beirut,33.888628999999995,35.495478999999996,Bombing/Explosion,83.0,300.0,Front for the Liberation of Lebanon from Foreigners,Police,"Police Building (headquarters, station, school)",1,0,Explosives/Bombs/Dynamite,Vehicle,,,,383.0,1
1981,10,2,Lebanon,Middle East & North Africa,Nabatiyeh,33.377007,35.483707,Bombing/Explosion,0.0,0.0,Front for the Liberation of Lebanon from Foreigners,Educational Institution,School/University/Educational Building,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,0.0,0
1981,10,9,Italy,Western Europe,Rome,41.89052,12.494249,Assassination,1.0,1.0,Abu Nidal Organization (ANO),Terrorists/Non-State Militia,Terrorist,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,2.0,1
1981,11,29,Syria,Middle East & North Africa,Aleppo,36.212989,37.142588,Bombing/Explosion,90.0,135.0,Front for the Liberation of Lebanon from Foreigners,Private Citizens & Property,Village/City/Town/Suburb,1,0,Explosives/Bombs/Dynamite,Vehicle,,,,225.0,1
1982,2,27,Lebanon,Middle East & North Africa,Beirut,33.888628999999995,35.495478999999996,Bombing/Explosion,8.0,35.0,Front for the Liberation of Lebanon from Foreigners,Military,Military Checkpoint,1,0,Explosives/Bombs/Dynamite,Vehicle,,,,43.0,1
1982,4,8,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Bombing/Explosion,1.0,1.0,Mujahedin-e Khalq (MEK),Journalists & Media,Newspaper Journalist/Staff/Facility,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,2.0,1
1982,5,21,Lebanon,Middle East & North Africa,Beirut,33.888628999999995,35.495478999999996,Bombing/Explosion,3.0,10.0,Front for the Liberation of Lebanon from Foreigners,Business,,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,13.0,1
1982,5,21,Lebanon,Middle East & North Africa,Beirut,33.888628999999995,35.495478999999996,Bombing/Explosion,0.0,0.0,Front for the Liberation of Lebanon from Foreigners,Business,Retail/Grocery/Bakery,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,0.0,0
1982,5,21,Lebanon,Middle East & North Africa,Beirut,33.888628999999995,35.495478999999996,Bombing/Explosion,0.0,1.0,Front for the Liberation of Lebanon from Foreigners,Private Citizens & Property,"Public Area (garden, parking lot, garage, beach, public building, camp)",1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,1.0,1
1982,6,3,United Kingdom,Western Europe,London,51.500152,-0.126236,Assassination,0.0,1.0,Abu Nidal Organization (ANO),Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",0,0,Firearms,Automatic Weapon,,,,1.0,1
1982,6,15,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Assassination,0.0,2.0,Mujahedin-e Khalq (MEK),Government (General),"Government Personnel (excluding police, military)",0,0,Explosives/Bombs/Dynamite,Grenade,,,,2.0,1
1982,7,2,Iran,Middle East & North Africa,Yazd,31.89722,54.3675,Assassination,4.0,11.0,Mujahedin-e Khalq (MEK),Religious Figures/Institutions,Religious Figure,1,0,Explosives/Bombs/Dynamite,Grenade,,,,15.0,1
1982,7,23,Zimbabwe,Sub-Saharan Africa,Victoria Falls,-17.931788,25.825523,Hostage Taking (Kidnapping),6.0,0.0,Anti-Government extremists,Tourists,Tourist,1,0,Unknown,,,,,6.0,1
1982,8,9,France,Western Europe,Paris,48.856614,2.3522220000000003,Bombing/Explosion,6.0,22.0,Abu Nidal Organization (ANO),Business,Restaurant/Bar/Café,1,0,Firearms,Automatic Weapon,,,,28.0,1
1982,9,6,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Bombing/Explosion,20.0,100.0,Mujahedin-e Khalq (MEK),Private Citizens & Property,Marketplace/Plaza/Square,1,0,Explosives/Bombs/Dynamite,Vehicle,,,,120.0,1
1982,9,28,Myanmar,Southeast Asia,Rangoon,16.797851,96.15735,Hijacking,,,Karen National Union,Journalists & Media,Radio Journalist/Staff/Facility,1,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",,,,,0
1982,11,8,Israel,Middle East & North Africa,Herzliya Pituah,32.174847,34.803366,Bombing/Explosion,,,Abu Nidal Organization (ANO),Military,Military Transportation/Vehicle (excluding convoys),1,0,Unknown,,,,,,0
1983,1,28,Lebanon,Middle East & North Africa,Chtaura,33.815732000000004,35.853305,Bombing/Explosion,12.0,20.0,Front for the Liberation of Lebanon from Foreigners,Private Citizens & Property,"Public Area (garden, parking lot, garage, beach, public building, camp)",1,0,Explosives/Bombs/Dynamite,Vehicle,,,,32.0,1
1983,4,10,Portugal,Western Europe,Albufeira,37.088991,-8.252283,Assassination,1.0,1.0,Abu Nidal Organization (ANO),Terrorists/Non-State Militia,Terrorist,1,0,Firearms,Handgun,,,,2.0,1
1983,6,14,Zimbabwe,Sub-Saharan Africa,Figtree,-20.374682,28.321355,Assassination,1.0,0.0,Anti-Government extremists,Business,Farm/Ranch,1,0,Firearms,Unknown Gun Type,,,,1.0,1
1983,8,7,Lebanon,Middle East & North Africa,Baalbek,34.004689,36.211040000000004,Bombing/Explosion,35.0,133.0,Front for the Liberation of Lebanon from Foreigners,Private Citizens & Property,Marketplace/Plaza/Square,1,0,Explosives/Bombs/Dynamite,Vehicle,,,,168.0,1
1983,9,23,United Arab Emirates,Middle East & North Africa,Jebel Ali,25.01126,55.06116,Bombing/Explosion,111.0,0.0,Abu Nidal Organization (ANO),Airports & Aircraft,Aircraft (not at an airport),1,0,Explosives/Bombs/Dynamite,Vehicle,,,,111.0,1
1983,11,7,Greece,Western Europe,Athens,37.97918,23.716647000000002,Assassination,1.0,1.0,Abu Nidal Organization (ANO),Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",1,0,Firearms,Automatic Weapon,,,,2.0,1
1983,11,9,Jordan,Middle East & North Africa,Amman,31.950001,35.933331,Bombing/Explosion,0.0,0.0,Abu Nidal Organization (ANO),Private Citizens & Property,Village/City/Town/Suburb,0,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,0.0,0
1984,2,8,France,Western Europe,Paris,48.856614,2.3522220000000003,Assassination,1.0,0.0,Abu Nidal Organization (ANO),Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",1,0,Firearms,Handgun,,,,1.0,1
1984,3,7,Israel,Middle East & North Africa,Ashdod,31.803022,34.652291999999996,Bombing/Explosion,3.0,9.0,Abu Nidal Organization (ANO),Transportation,Bus (excluding tourists),1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,12.0,1
1984,3,24,Jordan,Middle East & North Africa,Amman,31.950001,35.933331,Bombing/Explosion,0.0,2.0,Abu Nidal Organization (ANO),Business,Hotel/Resort,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,2.0,1
1984,4,7,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Bombing/Explosion,1.0,,Mujahedin-e Khalq (MEK),Private Citizens & Property,"Public Area (garden, parking lot, garage, beach, public building, camp)",1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,,0
1984,5,14,Greece,Western Europe,Athens,37.97918,23.716647000000002,Bombing/Explosion,0.0,80.0,Abu Nidal Organization (ANO),Business,Retail/Grocery/Bakery,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,80.0,1
1984,7,15,United States,North America,The Dalles,45.601555,-121.183434,Unarmed Assault,0.0,0.0,Rajneeshees,Government (General),Judge/Attorney/Court,0,0,Biological,,,,,0.0,0
1984,8,29,United States,North America,The Dalles,45.601555,-121.183434,Unarmed Assault,0.0,2.0,Rajneeshees,Government (General),Judge/Attorney/Court,1,0,Biological,,,,,2.0,1
1984,9,9,United States,North America,The Dalles,45.601555,-121.183434,Unarmed Assault,0.0,25.0,Rajneeshees,Business,Restaurant/Bar/Café,1,0,Biological,,,,,25.0,1
1984,9,12,Iran,Middle East & North Africa,Unknown,,,Hijacking,0.0,0.0,Mujahedin-e Khalq (MEK),Airports & Aircraft,Aircraft (not at an airport),0,0,Unknown,,,,,0.0,0
1984,9,20,United States,North America,The Dalles,45.601555,-121.183434,Unarmed Assault,0.0,751.0,Rajneeshees,Business,Restaurant/Bar/Café,1,0,Biological,,,,,751.0,1
1984,10,27,Italy,Western Europe,Rome,41.89052,12.494249,Assassination,1.0,1.0,Abu Nidal Organization (ANO),Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",0,0,Firearms,Unknown Gun Type,,,,2.0,1
1984,12,25,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Bombing/Explosion,6.0,50.0,Mujahedin-e Khalq (MEK),Business,Hotel/Resort,1,0,Explosives/Bombs/Dynamite,Vehicle,,,,56.0,1
1985,3,15,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Bombing/Explosion,6.0,0.0,Mujahedin-e Khalq (MEK),Government (General),Head of State,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,6.0,1
1985,5,30,Angola,Sub-Saharan Africa,Unknown,,,Assassination,1.0,,Anti-Government extremists,Religious Figures/Institutions,Religious Figure,1,0,Unknown,,,,,,0
1985,7,21,Lebanon,Middle East & North Africa,Beirut,33.888628999999995,35.495478999999996,Bombing/Explosion,0.0,0.0,Abu Nidal Organization (ANO),Airports & Aircraft,Airline Officer/Personnel,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,0.0,0
1985,9,30,Netherlands,Western Europe,Amsterdam,52.370216,4.895168,Bombing/Explosion,0.0,0.0,Abu Nidal Organization (ANO),Airports & Aircraft,Airline Officer/Personnel,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,0.0,0
1985,11,23,Greece,Western Europe,Athens,37.97918,23.716647000000002,Hijacking,60.0,27.0,Abu Nidal Organization (ANO),Airports & Aircraft,Aircraft (not at an airport),1,0,Firearms,Handgun,,,,87.0,1
1985,12,27,Austria,Western Europe,Vienna,48.208174,16.373819,Bombing/Explosion,4.0,38.0,Abu Nidal Organization (ANO),Airports & Aircraft,Airport,1,0,Explosives/Bombs/Dynamite,Grenade,,,,42.0,1
1985,12,27,Italy,Western Europe,Rome,41.89052,12.494249,Bombing/Explosion,16.0,81.0,Abu Nidal Organization (ANO),Airports & Aircraft,Airport,1,0,Firearms,Automatic Weapon,,,,97.0,1
1986,6,3,Bangladesh,South Asia,Tablchari,,,Armed Assault,,,Shanti Bahini - Peace Force,Police,"Police Building (headquarters, station, school)",1,0,Firearms,Rifle/Shotgun (non-automatic),,,,,0
